[2024-04-30T23:47:25.292+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T23:47:25.463+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T23:47:25.623+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T23:47:25.797+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T23:47:26.077+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T23:47:26.218+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T23:47:26.358+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T23:47:26.522+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T23:47:26.698+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T23:47:26.873+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T23:47:27.144+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T23:47:27.307+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T23:47:27.457+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T23:47:27.616+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T23:47:27.762+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T23:47:28.036+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T23:47:28.183+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T23:47:28.339+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T23:47:28.483+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T23:47:28.648+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T23:47:28.904+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T23:47:29.043+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T23:47:29.185+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T23:47:29.343+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T23:47:29.491+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T23:47:29.643+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T23:47:29.932+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T23:47:30.074+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T23:47:30.239+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T23:47:30.403+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T23:47:30.573+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T23:47:30.857+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T23:47:31.004+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T23:47:31.157+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T23:47:31.304+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T23:47:31.449+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T23:47:31.723+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T23:47:31.861+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T23:47:32.018+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T23:47:32.165+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T23:47:32.313+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T23:47:32.597+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T23:47:32.737+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T23:47:32.910+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T23:47:33.057+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T23:47:33.195+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T23:47:33.348+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T23:47:33.631+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T23:47:33.781+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T23:47:33.957+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T23:47:34.137+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T23:47:34.302+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T23:47:34.584+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T23:47:34.736+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T23:47:34.904+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T23:47:35.072+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T23:47:35.236+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T23:47:35.521+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T23:47:35.697+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T23:47:35.859+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T23:47:36.047+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T23:47:36.206+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T23:47:36.363+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T23:47:36.636+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T23:47:36.809+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T23:47:37.006+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T23:47:37.196+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T23:47:37.394+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T23:47:37.681+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T23:47:37.821+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T23:47:37.963+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T23:47:38.101+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T23:47:38.244+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T23:47:38.520+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T23:47:38.660+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T23:47:38.795+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T23:47:38.933+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T23:47:39.088+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T23:47:39.365+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T23:47:39.503+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T23:47:39.641+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T23:47:39.781+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T23:47:39.919+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T23:47:40.060+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T23:47:40.335+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T23:47:40.472+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T23:47:40.613+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T23:47:40.767+0000] {logging_mixin.py:188} INFO - enden upload_to_db
[2024-04-30T23:47:40.909+0000] {logging_mixin.py:188} INFO - enden upload_to_db
